Shape_Length,FromID,ToID,Length,TravelTime,From_X,From_Y,To_X,To_Y
862.3354536706967,1,65,862.8281858979901,10.35,,,,
1361.259664824386,1,67,1361.790372911518,16.34,,,,
2964.0055452517054,1,68,2965.1668894811787,35.58,,,,
3468.529530934604,1,70,3469.9203599608823,41.64,,,,
1614.3643641298554,1,71,1614.739441680381,19.38,,,,
1040.0901746140928,1,72,1040.497923655622,12.49,,,,
3237.309614820774,1,73,3238.5791390128516,38.86,,,,
1204.3247621052578,1,74,1204.7967120388182,14.46,,,,
1324.940588298365,1,75,1325.340836594496,15.9,,,,
2856.4584121644325,1,77,2857.5766195722344,34.29,,,,
1256.6801341723408,1,78,1257.2474074256677,15.09,,,,
2198.5367223343515,1,79,2199.397177641784,26.39,,,,
1103.1132398881882,1,80,1103.1414512135784,13.24,,,,
1092.1727596000808,1,81,1092.6006603673436,13.11,,,,
1281.702931960394,1,82,1282.2090366078237,15.39,,,,
1417.4340047243006,1,83,1417.9890449524785,17.02,,,,
1325.823928445902,1,84,1326.3486719271075,15.92,,,,
3549.394045108192,1,85,3550.78608540034,42.61,,,,
1113.0954515992787,1,86,1113.5316482794315,13.36,,,,
2407.5859711375756,1,87,2408.557611102666,28.9,,,,
1196.3014444356456,1,88,1196.4961889681526,14.36,,,,
3312.080013397243,1,89,3313.3819214373834,39.76,,,,
3055.6452357786084,1,90,3056.84350936838,36.68,,,,
2145.069896008661,1,91,2145.9102515298887,25.75,,,,
722.990460519852,1,92,723.2701537107134,8.68,,,,
2937.668575542896,1,93,2938.869044493412,35.27,,,,
1294.5991249440629,1,94,1295.1064855543673,15.54,,,,
1310.8865048780135,1,95,1311.4030629116205,15.74,,,,
2459.904539816521,1,97,2460.3931726160918,29.53,,,,
1347.0632936475715,1,98,1347.8134069223831,16.17,,,,
1255.0442870487132,1,99,1255.53572998874,15.07,,,,
1038.5063752497028,1,100,1038.9132652693638,12.47,,,,
1053.685421891376,1,101,1054.251169001748,12.65,,,,
1350.5781447217646,1,102,1350.915689014029,16.21,,,,
3292.262842051452,1,103,3293.553892058894,39.52,,,,
2158.3932282439982,1,104,2159.320134528415,25.91,,,,
940.0155549004477,1,105,940.3840042415129,11.29,,,,
4066.0868251348097,1,106,4067.38653871844,48.81,,,,
1472.6218007865564,1,107,1473.198395432407,17.68,,,,
2556.6162451306054,1,108,2557.6408544529763,30.69,,,,
