DATASOURCE,CREATIONUS,DATECREATE,DATEMODIFI,LASTUSER,BUILDINGID,BUILDINGNO,COMPOUNDNA,ARABICNAME,ENGLISHNAM,NOOFFLOOR,HEIGHT,CONSTRUCTI,DESCRIPTIO,DRAWINGNO,BRANCHES,BuildingAr,ORIG_FID,Shape_X,Shape_Y
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,32,51_G,مبنى ادارة الامن والسلامة,مبنى ادارة الامن والسلامة,Security and Safety Building,2,0.000000000000000,, ,SecuritySafetyAdministration.dwg,السليمانية,1315,1061,39.245060795293625,21.486979529760006
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,281,86,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV2Type1.dwg,السليمانية,255,1063,39.256835177161960,21.490264404540785
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,230,92,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV3Type2.dwg,السليمانية,281,1064,39.256306911666044,21.491261552878292
ملفات اوتوكاد - مسح ميداني,OCC Weavers Ltd.,15-005-14 0:00:00,15-005-14 0:00:00,MOHAMMAD ANABTAWI,0,2,الوقف العلمي,الوقف العلمي, ,2,0.000000000000000,,شطر الطلاب, ,السليمانية,959,1065,39.241206478682003,21.495796441735294
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,387,-1,غرفة كهرباء,غرفة كهرباء,Electricity Rooms,1,0.000000000000000,,شطر الطلاب,ElectricityRoomsNextToBuilding121.dwg,السليمانية,713,1067,39.248754738074950,21.491381462618239
 ,شركة المهيدب للمقالولات,,, ,4600,460_G,ClassRoom_GIRL,مبنى الفصول الدراسية,ClassRoom_460,5,0.000000000000000,,شطر الطلاب, ,السليمانية,1452,1068,39.247166878140575,21.488538986746221
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,-1,-1,غرفة كهرباء,غرفة كهرباء,Electricity room,1,0.000000000000000,,شطر الطلاب,MasterPlanUpdated.dwg,السليمانية,82,1070,39.250659729745379,21.489664771664266
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,21,6MMC,المركز الطبي,كلية الصيدلة,pharmacy college,4,0.000000000000000,,شطر الطلاب,MenMedicalComplexFloors.dwg,السليمانية,1907,1071,39.237895032146518,21.496531668878241
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,-1,-1,مكاتب شركة المبدعون,مكاتب شركة المبدعون,Innovators Company Offices,1,0.000000000000000,, ,MasterPlanUpdated.dwg,السليمانية,53,1072,39.258070313570244,21.500324830571991
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,184,73,فيلات اعضاء هيئة التدريس,فيلات اعضاء هيئة التدريس,Faculty members villas,3,0.000000000000000,,شطر الطلاب,FacultyHousingBuildingV3Type2.dwg,السليمانية,368,1073,39.259420748856648,21.490330481142539
ملفات اوتوكاد - مسح ميداني,خطيب وعلمي,,, ,308,204,محطة معالجة مياه الصرف الصحي,محطة معالجة مياه الصرف الصحي,Sewer treatment,1,0.000000000000000,, ,WasteWaterSystemSurveyour.dwg,السليمانية,313,1074,39.236705807817351,21.488051360234543
